Тип,Цена (₽),Комнаты,Площадь (м²),Жилая площадь (м²),Площадь кухни (м²),Потолок,Этаж,Всего этажей в доме,Стены,Район,Метро,Расстояние до метро (км)
Квартира,8400000,1,44.0,16.0,12.0,2.7,20,25,Монолитно-панельный,Красносельский,Ленинский  проспект,6.4
Квартира,7200000,1,46.7,19.2,14.0,2.8,6,10,Кирпично-Монолитный,Всеволожский,Ладожская,
Квартира,8300000,1,40.0,17.0,11.0,,2,20,Кирпично-Монолитный,Красносельский,Проспект Ветеранов,5.6
Квартира,7700000,2,56.2,33.7,10.2,2.7,4,5,Кирпичный,Выборгский,Удельная,47.7
Студия,4750000,0,23.0,16.0,,,18,25,Кирпично-Монолитный,Невский,Ломоносовская,4.1
Квартира,6700000,2,44.6,34.0,6.3,2.5,2,9,Индивидуальный,Выборгский,Гражданский  проспект,
Студия,5190000,0,25.6,12.0,3.0,,11,25,Монолит,Выборгский,Проспект Просвещения,3.0
Квартира,75000000,3,120.0,82.6,9.7,3.3,5,6,Кирпичный,Центральный,Адмиралтейская,0.7
Квартира,11000000,2,53.6,31.7,7.6,2.64,1,5,Индивидуальный,Красногвардейский,,
Квартира,6000000,1,39.4,16.4,10.2,2.7,1,12,Кирпично-Монолитный,Красносельский,Проспект Ветеранов,7.9
Студия,6100000,0,35.0,24.0,4.0,2.7,3,10,Индивидуальный,Пушкинский,,
Квартира,15661000,3,92.0,55.85,13.51,2.75,8,22,Кирпично-Монолитный,Выборгский,Проспект Просвещения,1.8
Квартира,12800000,4,77.5,54.9,9.9,2.55,5,9,602 серия,Невский,Проспект Большевиков,1.0
Квартира,13300000,3,73.9,46.5,10.7,,12,17,Монолитно-панельный,Приморский,Беговая,1.1
Квартира,6750000,2,44.2,15.0,,2.6,11,24,Кирпично-Монолитный,Фрунзенский,Бухарестская,0.2
Квартира,9490000,1,46.9,20.0,12.0,2.8,10,16,Кирпичный,Выборгский,Удельная,0.8
Квартира,11999000,4,90.0,64.5,10.0,3.0,5,5,Сталинский,Невский,Ломоносовская,1.3
Квартира,9750000,1,48.8,23.0,17.0,2.75,10,24,Кирпично-Монолитный,Приморский,Комендантский  проспект,2.7
Студия,3400000,0,23.9,14.0,4.0,2.7,14,16,Монолит,Всеволожский,Девяткино,1.7
Квартира,7299000,3,60.0,43.0,6.2,,1,9,Панельный,Петродворцовый,Проспект Ветеранов,27.5
Квартира,5270000,1,31.9,17.9,5.9,2.51,4,5,Кирпичный,Московский,Проспект Ветеранов,3.8
Квартира,16900000,2,67.8,34.7,16.0,2.77,12,25,Индивидуальный,Московский,Московская,
Студия,6900000,0,31.8,13.5,5.0,2.8,16,23,Кирпичный,Приморский,Беговая,1.4
Квартира,10900000,2,59.4,32.0,12.0,2.8,7,23,Кирпично-Монолитный,Невский,Улица Дыбенко,5.0
Квартира,6460000,1,33.5,20.0,10.0,2.5,24,24,Индивидуальный,Всеволожский,,
Квартира,13230000,1,64.3,23.9,16.1,3.0,3,6,Кирпично-Монолитный,Выборгский,Проспект Просвещения,2.6
Квартира,6650000,1,32.6,15.0,10.0,2.7,2,15,Кирпично-Монолитный,Всеволожский,Улица Дыбенко,17.2
Квартира,6750000,2,44.9,28.0,5.7,,3,5,Панельный,Московский,Парк Победы,2.2
Квартира,10000000,3,72.6,42.8,10.0,2.75,16,16,Панельный,Красносельский,Проспект Ветеранов,2.5
Квартира,7724000,1,39.4,14.3,15.11,2.55,1,17,Кирпично-Монолитный,Московский,Звездная,2.1
Квартира,17500000,2,77.0,37.4,15.7,,10,10,Кирпично-Монолитный,Невский,Елизаровская,0.6
Квартира,9742000,1,43.2,14.46,11.76,2.7,13,13,Кирпичный,Фрунзенский,Дунайская,1.0
Квартира,7100000,2,53.6,32.8,10.3,2.64,16,17,Индивидуальный,Выборгский,,
Квартира,5890000,1,36.5,17.6,8.2,2.7,5,6,600.11 серия,Приморский,Комендантский  проспект,1.4
Квартира,7670000,1,39.2,16.0,10.0,2.7,25,25,Панельный,Невский,Проспект Большевиков,1.2
Квартира,30000000,2,70.8,30.0,25.0,3.6,1,11,Индивидуальный,Петроградский,,
Квартира,27000000,4,128.3,59.0,48.0,,18,19,Кирпичный,Выборгский,,
Квартира,5400000,1,38.7,16.0,10.6,2.6,9,16,Монолитно-панельный,Ломоносовский,Проспект Ветеранов,7.2
Квартира,21900000,1,48.0,20.0,18.0,3.0,5,10,Монолит,Центральный,Новочеркасская,1.7
Квартира,4990000,1,38.3,24.0,10.0,2.6,6,16,Индивидуальный,Всеволожский,,
Квартира,18500000,3,83.0,45.98,12.7,2.55,9,25,Кирпично-Монолитный,Приморский,Старая Деревня,1.3
Студия,4999000,0,23.9,16.0,,3.0,17,19,Кирпично-Монолитный,Всеволожский,Девяткино,2.2
Квартира,54000000,3,95.6,54.8,17.9,3.4,2,5,Индивидуальный,Центральный,,
Квартира,63000000,4,153.0,80.0,30.0,4.0,5,5,Кирпичный,Адмиралтейский,Адмиралтейская,0.5
Студия,7800000,0,26.1,19.0,4.0,2.7,3,25,Индивидуальный,Приморский,Комендантский  проспект,
Квартира,7033000,1,32.5,18.7,7.4,2.57,16,25,Панельный,Красногвардейский,Гражданский  проспект,4.9
Квартира,60000000,5,186.2,123.8,20.5,3.7,6,7,Индивидуальный,Петроградский,,
Квартира,10713000,2,52.59,27.8,8.44,2.68,1,25,Панельный,Приморский,Комендантский  проспект,3.6
Квартира,9500000,3,61.8,42.7,11.0,3.17,2,3,Кирпичный,Центральный,Площадь Восстания,0.7
Квартира,25000000,6,174.0,89.1,15.0,3.25,6,6,Индивидуальный,Петроградский,,
Квартира,10100000,1,58.9,20.0,9.0,2.5,1,5,Индивидуальный,Центральный,,
Квартира,13360000,3,82.52,41.85,13.72,2.8,7,22,Монолит,Всеволожский,Улица Дыбенко,2.2
Квартира,10200000,1,33.6,12.7,11.8,3.0,6,10,Индивидуальный,Выборгский,,
Квартира,7500000,1,44.0,16.0,16.0,2.7,4,14,Монолит,Красносельский,Ленинский  проспект,4.9
Квартира,18800000,4,93.4,60.0,12.0,2.7,2,5,Индивидуальный,Пушкинский,,
Квартира,39900000,3,136.8,56.2,45.3,2.8,3,8,Кирпично-Монолитный,Василеостровский,Василеостровская,0.9
Квартира,6800000,1,33.0,10.5,15.0,2.64,5,9,Индивидуальный,Приморский,Комендантский  проспект,
Квартира,5990000,1,38.0,17.0,7.0,,1,9,Панельный,Калининский,Проспект Просвещения,2.8
Квартира,25500000,2,77.0,37.5,13.5,3.0,5,8,Монолитно-панельный,Центральный,Площадь Восстания,0.5
Квартира,8500000,2,43.5,28.4,6.3,2.5,5,12,Кирпичный,Курортный,Беговая,17.6
Квартира,9840000,3,62.5,34.0,10.8,,6,15,Кирпично-Монолитный,Всеволожский,Девяткино,2.6
Квартира,5700000,1,36.6,15.1,12.0,2.8,21,25,Монолит,Красногвардейский,Девяткино,4.7
Студия,4789000,0,25.7,17.0,2.0,2.8,6,20,Индивидуальный,Всеволожский,,
Студия,6000000,0,26.6,18.0,4.0,2.64,5,25,Индивидуальный,Всеволожский,,
Квартира,178900000,3,167.0,106.0,20.4,,1,7,Монолит,Петроградский,Крестовский остров,0.7
Квартира,9700000,3,59.3,41.0,11.0,2.8,3,5,Индивидуальный,Московский,,
Квартира,3600000,1,35.0,14.0,13.0,2.78,3,4,Монолит,Гатчинский,Московская,26.6
Квартира,38000000,3,107.0,62.38,16.05,3.1,8,8,Кирпично-Монолитный,Адмиралтейский,Московская,0.9
Квартира,5950000,1,29.4,13.3,2.0,2.64,7,19,Индивидуальный,Василеостровский,,
Квартира,10200000,2,54.4,33.9,8.3,3.02,5,5,Сталинский,Калининский,Площадь Ленина,3.1
Квартира,6900000,1,42.7,20.1,10.3,2.6,10,16,137 серия,Красносельский,Ленинский  проспект,4.3
Квартира,5450000,2,56.0,32.8,6.7,,2,5,Кирпичный,Всеволожский,Девяткино,8.8
Квартира,9700000,2,48.0,28.5,11.2,2.6,23,25,Индивидуальный,Приморский,,
Квартира,13824000,3,80.9,49.81,13.79,2.68,1,25,Панельный,Приморский,Комендантский  проспект,3.6
Квартира,33000000,3,95.7,60.8,10.2,3.2,5,6,Кирпичный,Адмиралтейский,Адмиралтейская,0.4
Квартира,7200000,1,41.5,22.5,9.0,3.0,12,15,Панельный,Всеволожский,Девяткино,2.0
Квартира,7100000,2,48.5,26.6,7.5,2.6,9,12,137 серия,Красногвардейский,Ладожская,2.3
Квартира,12090000,3,78.4,40.3,19.9,2.75,1,10,Монолит,Всеволожский,Ладожская,8.2
Квартира,21104000,1,57.18,14.76,5.3,2.9,11,12,Кирпично-Монолитный,Красногвардейский,Новочеркасская,1.1
Квартира,8700000,2,50.8,27.6,8.0,2.55,4,5,Кирпичный,Курортный,Беговая,17.9
Студия,3000000,0,28.0,20.0,,,3,3,Индивидуальный,Всеволожский,,
Студия,4230000,0,11.2,7.0,2.0,2.5,1,5,Кирпичный,Центральный,Гостиный Двор,1.6
Квартира,40000000,3,164.5,89.5,43.2,3.0,4,6,Кирпичный,Центральный,Площадь Александра Невского,0.8
Квартира,5000000,2,39.1,28.0,5.4,,2,4,Панельный,Красносельский,Рыбацкое,9.7
Квартира,6900000,3,56.0,40.6,5.6,2.64,3,3,Индивидуальный,Курортный,,
Квартира,9500000,2,46.6,18.0,16.0,2.7,21,25,Индивидуальный,Выборгский,,
Квартира,15401000,2,94.06,48.6,19.1,,1,6,Монолит,Выборгский,Парнас,2.4
Квартира,5800000,1,48.5,19.0,12.4,2.77,10,10,Кирпично-Монолитный,Всеволожский,Ладожская,12.5
Квартира,33000000,7,164.0,129.2,13.5,3.8,2,4,Кирпичный,Петроградский,Горьковская,0.3
Студия,4300000,0,19.0,17.0,2.0,2.5,1,6,Индивидуальный,Петроградский,,
Квартира,11500000,2,61.6,40.0,20.0,2.8,2,25,Индивидуальный,Выборгский,,
Квартира,6485000,1,37.93,19.52,9.84,2.7,17,21,Монолит,Всеволожский,Девяткино,1.7
Квартира,5400000,1,36.55,14.41,11.56,2.8,4,18,Индивидуальный,Пушкинский,Купчино,2.3
Квартира,3200000,2,44.0,30.2,4.7,2.55,2,5,Панельный,Всеволожский,Девяткино,29.1
Квартира,15000000,2,74.0,29.0,26.0,3.0,5,6,Сталинский,Невский,Ломоносовская,0.2
Квартира,27475000,3,121.0,63.0,17.0,2.8,4,20,Монолит,Приморский,Черная речка,0.8
Квартира,6100000,2,44.2,27.3,6.9,2.5,7,9,Панельный,Колпинский,Рыбацкое,10.8
Квартира,11120000,2,54.7,27.22,10.75,2.57,13,25,Панельный,Красногвардейский,Гражданский  проспект,4.3
Квартира,12838000,3,81.93,42.07,19.05,,3,24,Кирпично-Монолитный,Невский,Рыбацкое,2.4
Квартира,16500000,3,109.7,60.0,30.0,2.64,4,5,Индивидуальный,Курортный,,
Квартира,16700000,2,63.6,23.3,26.25,2.64,15,18,Индивидуальный,Московский,,
Квартира,16000000,3,69.5,41.2,12.2,2.7,12,22,Кирпично-Монолитный,Калининский,Площадь Мужества,1.6
Квартира,53616000,2,115.4,20.0,50.3,,3,9,Монолит,Петроградский,Чкаловская,
Квартира,11390000,2,65.3,40.0,11.5,,1,5,Кирпичный,Адмиралтейский,Технологический институт,1.0
