Тип,Цена (₽),Комнаты,Площадь (м²),Жилая площадь (м²),Площадь кухни (м²),Потолок,Этаж,Всего этажей в доме,Стены,Район,Метро,Расстояние до метро (км)
Квартира,6500000,1,33.0,17.0,8.0,2.64,15,18,Индивидуальный,Невский,,
Квартира,3500000,1,33.2,15.9,8.6,,10,10,Панельный,Ломоносовский,Проспект Ветеранов,20.0
Квартира,12900000,3,71.4,45.8,9.3,2.95,5,7,Кирпичный,Кировский,Автово,0.2
Квартира,6500000,2,44.8,30.3,7.2,2.6,2,5,Панельный,Фрунзенский,Проспект Славы,1.2
Квартира,18000000,3,93.0,62.0,10.0,3.19,1,3,Ст.Фонд Кап.Рем.,Адмиралтейский,Технологический институт,1.1
Студия,5790000,0,25.9,16.9,,2.6,20,24,Кирпично-Монолитный,Невский,Рыбацкое,4.2
Квартира,18030000,2,78.0,27.9,23.2,2.75,9,14,Монолит,Приморский,Лесная,1.0
Квартира,28880000,4,111.5,76.8,23.8,2.75,4,4,Старый фонд (СФ),Центральный,Гостиный Двор,0.6
Квартира,5950000,1,39.4,19.6,13.1,2.75,9,26,Монолитно-панельный,Выборгский,Парнас,1.1
Квартира,32700000,2,88.0,48.0,14.0,3.0,6,7,Монолит,Петроградский,Петроградская,1.0
Квартира,3420000,1,34.0,15.5,10.0,2.5,1,3,Индивидуальный,Всеволожский,Улица Дыбенко,11.2
Квартира,10999000,2,54.3,40.0,8.5,2.5,5,17,Индивидуальный,Невский,,
Квартира,6180000,1,38.1,15.4,12.8,2.5,5,9,Кирпично-Монолитный,Петродворцовый,Ленинский  проспект,28.4
Квартира,5990000,1,16.7,9.0,4.0,3.2,1,5,Сталинский,Василеостровский,Приморская,2.0
Квартира,6700000,2,54.9,28.3,11.9,2.7,1,4,Панельный,Всеволожский,Ладожская,8.0
Квартира,49500000,3,98.4,32.3,36.0,3.3,9,9,Кирпично-Монолитный,Петроградский,Чкаловская,0.5
Квартира,10700000,2,65.7,37.2,12.2,3.2,4,4,Сталинский,Московский,Звездная,0.6
Квартира,11900000,1,32.1,14.1,8.6,2.7,15,16,Кирпичный,Приморский,Беговая,1.2
Квартира,4900000,1,42.1,16.0,14.0,2.65,6,12,Панельный,Всеволожский,,
Квартира,5250000,2,43.0,27.0,6.3,2.6,1,9,Панельный,Петродворцовый,Проспект Ветеранов,27.4
Квартира,8849000,1,45.0,14.9,11.95,2.6,6,15,Кирпично-Монолитный,Московский,Московская,4.0
Квартира,8400000,3,57.0,39.0,6.2,2.7,2,9,Монолитно-панельный,Красногвардейский,Ладожская,2.4
Квартира,9045000,1,47.98,13.69,17.81,2.7,3,25,Кирпично-Монолитный,Приморский,Озерки,3.4
Квартира,6400000,1,40.0,20.0,12.0,2.0,2,6,Индивидуальный,Пушкинский,,
Квартира,7200000,2,51.1,31.0,8.2,2.5,6,9,606 серия,Красногвардейский,Ладожская,2.3
Квартира,10000000,1,33.62,10.5,15.07,3.0,12,13,Кирпично-Монолитный,Фрунзенский,Обводный канал,1.1
Квартира,6200000,1,30.8,16.0,6.0,2.6,4,5,Панельный,Московский,Парк Победы,1.2
Квартира,8950000,3,61.6,42.7,12.0,3.02,1,3,Индивидуальный,Центральный,,
Студия,6500000,0,27.0,24.0,3.0,3.0,14,16,Индивидуальный,Московский,Московская,
Квартира,5925000,2,40.4,12.0,18.5,,8,9,Кирпично-Монолитный,Ломоносовский,Проспект Ветеранов,10.3
Квартира,13100000,1,38.0,14.0,12.0,2.7,13,13,Кирпично-Монолитный,Приморский,Лесная,1.3
Квартира,7100000,3,71.8,51.0,7.0,2.55,5,5,Индивидуальный,Всеволожский,,
Студия,6481000,0,23.03,15.62,,2.7,9,21,Монолит,Московский,Купчино,0.1
Квартира,11800000,2,60.1,26.3,10.9,2.65,12,25,Кирпично-Монолитный,Калининский,Площадь Мужества,1.9
Квартира,3850000,1,29.3,16.9,5.6,2.5,5,5,Кирпичный,Выборгский,Удельная,40.0
Квартира,15439000,3,79.0,37.8,16.4,2.7,17,24,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.6
Квартира,7870000,2,45.0,30.8,6.5,2.6,1,5,Панельный,Приморский,,
Студия,8650000,0,31.0,20.0,5.0,2.64,1,21,Индивидуальный,Калининский,,
Квартира,8200000,1,36.4,16.4,9.5,2.55,3,9,Кирпичный,Курортный,Беговая,17.7
Квартира,7500000,1,38.6,18.7,8.5,2.5,3,16,Кирпичный,Невский,Проспект Большевиков,0.3
Квартира,8400000,2,51.0,28.4,8.2,2.54,12,16,137 серия,Красногвардейский,Ладожская,2.1
Квартира,5300000,1,33.0,14.0,9.0,2.6,21,24,Кирпично-Монолитный,Невский,Рыбацкое,4.2
Квартира,11900000,2,57.4,31.0,9.0,2.7,3,6,Монолит,Курортный,Беговая,17.9
Квартира,14150000,1,78.3,39.0,13.5,2.8,9,16,Кирпично-Монолитный,Красногвардейский,Ладожская,4.0
Квартира,5400000,1,35.3,14.0,10.0,2.6,2,23,Индивидуальный,Адмиралтейский,,
Квартира,9740000,2,53.1,22.9,10.1,,17,22,Монолит,Всеволожский,Улица Дыбенко,2.2
Студия,3630000,0,20.4,15.4,,2.7,10,15,Монолитно-панельный,Всеволожский,Девяткино,1.4
Квартира,5100000,1,34.1,15.7,10.5,2.65,14,25,Панельный,Красногвардейский,Гражданский  проспект,4.4
Квартира,5790000,1,43.5,15.0,13.0,,6,15,Кирпично-Монолитный,Всеволожский,Девяткино,2.5
Квартира,20400000,2,60.0,36.0,10.0,,4,5,Кирпичный,Центральный,Владимирская,0.2
Квартира,14000000,2,67.1,32.3,13.8,2.75,16,16,Монолит,Приморский,Пионерская,0.6
Квартира,15400000,3,68.2,41.2,13.4,3.15,3,5,Старый фонд (СФ),Центральный,Площадь Восстания,0.7
Квартира,11780000,1,42.1,18.4,14.0,2.7,2,22,Индивидуальный,Красногвардейский,,
Квартира,7400000,2,50.3,24.0,12.4,2.75,14,23,Индивидуальный,Пушкинский,,
Квартира,10000000,2,47.9,7.3,25.0,2.5,4,5,Индивидуальный,Кировский,,
